sku_id,elasticity,p_value,is_elastic
SKU_1001,-1.0639,0.3738,Elastic
SKU_1002,1.1154,0.3624,Inelastic
SKU_1003,0.0737,0.9553,Inelastic
SKU_1004,-2.4564,0.0643,Elastic
SKU_1005,-3.0004,0.0042,Elastic
SKU_1006,-1.5209,0.276,Elastic
SKU_1007,-0.6106,0.6149,Inelastic
SKU_1008,-3.5969,0.006,Elastic
SKU_1009,-0.6286,0.5856,Inelastic
SKU_1010,0.4266,0.7417,Inelastic
SKU_1011,-1.4145,0.2968,Elastic
SKU_1012,-1.8462,0.1345,Elastic
SKU_1013,0.677,0.5369,Inelastic
SKU_1014,-0.8649,0.4663,Inelastic
SKU_1015,-0.9042,0.5677,Inelastic
SKU_1016,0.1394,0.9219,Inelastic
SKU_1017,-2.3133,0.0934,Elastic
SKU_1018,-3.0997,0.0096,Elastic
SKU_1019,-0.8509,0.4708,Inelastic
SKU_1020,-1.2029,0.355,Elastic
SKU_1021,0.1597,0.9,Inelastic
SKU_1022,-2.0134,0.2037,Elastic
SKU_1023,-2.1746,0.1192,Elastic
SKU_1024,-1.9987,0.0795,Elastic
SKU_1025,-1.6141,0.2997,Elastic
SKU_1026,-1.8074,0.2423,Elastic
SKU_1027,0.0324,0.9787,Inelastic
SKU_1028,-2.8214,0.0168,Elastic
SKU_1029,-2.1014,0.098,Elastic
SKU_1030,-2.3197,0.1158,Elastic
SKU_1031,-2.0184,0.1986,Elastic
SKU_1032,1.2551,0.4162,Inelastic
SKU_1033,-1.6081,0.2165,Elastic
SKU_1034,-1.8087,0.1311,Elastic
SKU_1035,-2.876,0.0627,Elastic
SKU_1036,-1.288,0.3937,Elastic
SKU_1037,-2.2205,0.0731,Elastic
SKU_1038,-6.2843,0.0003,Elastic
SKU_1039,-2.2018,0.0549,Elastic
SKU_1040,-3.0013,0.0255,Elastic
SKU_1041,0.2673,0.8932,Inelastic
SKU_1042,-4.4982,0.0137,Elastic
SKU_1043,-0.2964,0.8307,Inelastic
SKU_1044,-2.9292,0.0292,Elastic
SKU_1045,-2.4823,0.1006,Elastic
SKU_1046,-2.155,0.07,Elastic
SKU_1047,-0.5638,0.6144,Inelastic
SKU_1048,0.2851,0.824,Inelastic
SKU_1049,-1.2194,0.4463,Elastic
SKU_1050,-0.9963,0.4358,Inelastic
SKU_1051,-2.4987,0.0123,Elastic
SKU_1052,-2.2829,0.0863,Elastic
SKU_1053,-1.8482,0.1454,Elastic
SKU_1054,-4.394,0.0017,Elastic
SKU_1055,-3.3554,0.0093,Elastic
SKU_1056,-3.6182,0.0116,Elastic
SKU_1057,-0.5975,0.5809,Inelastic
SKU_1058,-0.821,0.4692,Inelastic
SKU_1059,1.2797,0.3247,Inelastic
SKU_1060,-4.5489,0.0006,Elastic
SKU_1061,-3.0953,0.0509,Elastic
SKU_1062,-3.1428,0.0177,Elastic
SKU_1063,-0.2075,0.8755,Inelastic
SKU_1064,-4.541,0.0012,Elastic
SKU_1065,-0.6467,0.6524,Inelastic
SKU_1066,-1.3324,0.2393,Elastic
SKU_1067,-2.3084,0.1048,Elastic
SKU_1068,-2.5584,0.0348,Elastic
SKU_1069,-1.2107,0.3429,Elastic
SKU_1070,-2.0188,0.0979,Elastic
SKU_1071,-1.0488,0.3981,Elastic
SKU_1072,-2.5489,0.0379,Elastic
SKU_1073,1.6202,0.1444,Inelastic
SKU_1074,-1.2725,0.324,Elastic
SKU_1075,-1.9984,0.1648,Elastic
SKU_1076,-2.56,0.0754,Elastic
SKU_1077,-1.8329,0.1264,Elastic
SKU_1078,-2.5696,0.0395,Elastic
SKU_1079,-3.0264,0.0121,Elastic
SKU_1080,-1.0304,0.4576,Elastic
SKU_1081,-0.2596,0.8166,Inelastic
SKU_1082,0.4172,0.7554,Inelastic
SKU_1083,-0.5248,0.698,Inelastic
SKU_1084,-2.6988,0.0195,Elastic
SKU_1085,0.6983,0.5868,Inelastic
SKU_1086,-3.7914,0.0031,Elastic
SKU_1087,0.1176,0.9303,Inelastic
SKU_1088,-2.992,0.0284,Elastic
SKU_1089,-3.4527,0.0022,Elastic
SKU_1090,-1.4175,0.1953,Elastic
SKU_1091,-2.7973,0.0474,Elastic
SKU_1092,0.7978,0.5275,Inelastic
SKU_1093,-3.5528,0.0059,Elastic
SKU_1094,-2.619,0.062,Elastic
SKU_1095,-3.4687,0.0049,Elastic
SKU_1096,-1.0614,0.3659,Elastic
SKU_1097,-2.1102,0.1642,Elastic
SKU_1098,1.6725,0.28,Inelastic
SKU_1099,-2.7917,0.026,Elastic
SKU_1100,-1.0899,0.4544,Elastic
